"","Date","Seed","Learner","Hyper_Parameter","Imputing","Time","Resampling_folds","CV_Score","Comment","DistrictSplit","District","Combined_Score"
"223",2024-02-19,682605,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 333, learning_rate = 0.0524652354826685, depth = 9, random_strength = 0.638813012046739, grow_policy = ""Depthwise"")","hot deck",32.0900000000256,5,315.672632969371,"feature selection",TRUE,"nalanda","305.879840795123"
"224",2024-02-19,682605,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 597, learning_rate = 0.0605259619886056, depth = 14, random_strength = 1.33695642650127, grow_policy = ""SymmetricTree"")","hot deck",99.679999999993,5,379.206102844843,"feature selection",TRUE,"vaishali","305.879840795123"
"225",2024-02-19,682613,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 225, learning_rate = 0.161974899321795, depth = 7, random_strength = 1.40956493723206, grow_policy = ""Depthwise"")","hot deck",1.25,5,290.778459843251,"feature selection",TRUE,"gaya","309.594732076858"
"226",2024-02-19,682613,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 638, learning_rate = 0.0195509221684188, depth = 13, random_strength = 1.36589722638018, grow_policy = ""SymmetricTree"")","hot deck",83.8999999999651,5,234.055770862916,"feature selection",TRUE,"jamui","309.594732076858"
"227",2024-02-19,682613,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 114, learning_rate = 0.101623607669026, depth = 14, random_strength = 1.04772666934878, grow_policy = ""Depthwise"")","hot deck",14.6699999999837,5,318.722148749715,"feature selection",TRUE,"nalanda","309.594732076858"
"228",2024-02-19,682613,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 662, learning_rate = 0.0247318486426957, depth = 11, random_strength = 0.798565846867859, grow_policy = ""SymmetricTree"")","hot deck",29.890000000014,5,380.605096849352,"feature selection",TRUE,"vaishali","309.594732076858"
"229",2024-02-19,682622,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 197, learning_rate = 0.0352736335655209, depth = 7, random_strength = 0.96194978710264, grow_policy = ""Depthwise"")","hot deck",0.660000000032596,5,275.879174247504,"feature selection",TRUE,"gaya","275.879174247504"
"230",2024-02-19,682622,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 240, learning_rate = 0.0126921058853623, depth = 11, random_strength = 1.37939352518879, grow_policy = ""Depthwise"")","hot deck",16.7199999999721,5,229.973306621066,"feature selection",TRUE,"jamui","229.973306621066"
"231",2024-02-19,682622,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 244, learning_rate = 0.0101780385838356, depth = 12, random_strength = 1.43228895775974, grow_policy = ""SymmetricTree"")","hot deck",21.1300000000047,5,352.045093782862,"feature selection",TRUE,"nalanda","352.045093782862"
"232",2024-02-20,682623,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 645, learning_rate = 0.129787078540539, depth = 10, random_strength = 1.30930874380283, grow_policy = ""Depthwise"")","hot deck",6.02999999996973,5,291.848753858024,"feature selection",TRUE,"gaya","313.861756856396"
